combo,replication,revenue,perfect,difference
10,5,89148,104670,0.14829464
10,6,110208,114270,0.035547388
10,7,68352,92412,0.260355798
10,8,117528,119340,0.015183509
10,9,40098,63336,0.366900341
10,10,118644,120000,0.0113
10,11,79476,99864,0.204157654
10,12,118788,120000,0.0101
10,13,103536,111012,0.067344071
10,14,62604,87228,0.282294676
10,15,100632,110004,0.085196902
10,16,77406,99210,0.219776232
10,17,89370,104964,0.148565222
10,18,86628,103458,0.162674709
10,19,80322,100236,0.198671136
10,20,116760,117072,0.002665027
10,21,79998,100254,0.202046801
10,22,44526,70452,0.367995231
10,23,117876,120000,0.0177
10,24,80496,100218,0.196790996
10,25,44304,69924,0.366397803
10,26,117798,120000,0.01835
10,27,93468,106422,0.121722952
10,28,71550,94590,0.243577545
10,29,73308,96960,0.243935644
10,30,117894,120000,0.01755
10,31,96456,108594,0.111774131
10,32,106422,112458,0.053673371
10,33,66672,91284,0.269620087
10,34,102576,110310,0.070111504
10,35,80340,100050,0.197001499
10,36,72174,95496,0.244219653
10,37,86790,103584,0.162129286
10,38,74382,97572,0.237670643
10,39,78132,98952,0.210405045
10,40,116826,119580,0.023030607
10,41,98004,108702,0.098415853
10,42,118266,120000,0.01445
10,43,65622,89244,0.264690063
10,44,89838,104826,0.142979795
10,45,107220,113118,0.052140243
10,46,55728,80880,0.310979228
10,47,100602,110058,0.085918334
10,48,94788,107676,0.119692411
10,49,105240,112068,0.060927294
11,0,60096,84156,0.285897619
11,1,107598,112098,0.040143446
11,2,106704,112146,0.048526029
11,3,61134,84396,0.275629177
11,4,118266,120000,0.01445
11,5,63402,86976,0.271040287
11,6,117918,120000,0.01735
11,7,66126,89538,0.261475575
11,8,105942,111816,0.052532732
11,9,46836,72660,0.355408753
11,10,116772,120000,0.0269
11,11,96294,107298,0.1025555
11,12,62958,87744,0.282480853
11,13,93366,106260,0.121343874
11,14,91980,105246,0.126047546
11,15,91752,105840,0.133106576
11,16,47568,73344,0.351439791
11,17,95154,107274,0.11298171
11,18,98220,107880,0.089543938
11,19,110478,113310,0.024993381
11,20,63048,86592,0.271895787
11,21,79440,99366,0.200531369
11,22,44616,69384,0.356969907
11,23,85956,102306,0.159814674
11,24,74478,96960,0.231868812
11,25,76716,97776,0.21539028
11,26,84966,102396,0.170221493
11,27,91818,104526,0.121577407
11,28,118086,120000,0.01595
11,29,52626,78072,0.325929911
11,30,98610,108246,0.089019456
11,31,51774,76596,0.32406392
11,32,65820,88758,0.258433043
11,33,83442,100968,0.173579748
11,34,96876,108240,0.104988914
11,35,79956,99894,0.199591567
11,36,80982,100194,0.191748009
11,37,75072,97746,0.231968572
11,38,72114,94602,0.237711676
11,39,101334,109230,0.072287833
11,40,81588,100668,0.189533913
11,41,104634,111216,0.059182132
11,42,73920,94992,0.221829207
11,43,83766,101316,0.173220419
11,44,96312,106464,0.095356177
11,45,65322,89148,0.267263427
11,46,118290,120000,0.01425
11,47,81492,100542,0.189473056
11,48,100602,110280,0.087758433
11,49,96810,107094,0.096027789
12,0,61116,84192,0.274087799
12,1,71448,92208,0.225143155
12,2,107202,110796,0.032437994
12,3,66678,88716,0.248410659
12,4,85386,101094,0.155380141
12,5,77928,99180,0.214277072
12,6,71160,91644,0.223517088
12,7,104850,110166,0.048254452
12,8,92766,104622,0.113322246
12,9,96600,106662,0.094335377
12,10,86946,101652,0.144670051
12,11,93516,105252,0.111503819
12,12,67764,89184,0.24017761
12,13,115002,117822,0.02393441
12,14,54186,79416,0.317694167
12,15,83490,100236,0.167065725
12,16,76008,97182,0.217879854
12,17,87774,102570,0.144252705
12,18,95964,107100,0.103977591
12,19,90132,103650,0.130419682
12,20,36702,55932,0.343810341
12,21,87840,101370,0.133471441
12,22,53040,77652,0.316952558
12,23,107688,111258,0.03208758
12,24,118800,120000,0.01
12,25,114606,116406,0.01546312
12,26,91614,104352,0.122067617
12,27,114006,117642,0.030907329
12,28,61542,84528,0.27193356
12,29,30162,45876,0.342532043
12,30,96864,106866,0.093593846
12,31,89988,104334,0.137500719
12,32,41796,63732,0.344191301
12,33,55428,79680,0.30436747
12,34,49308,74112,0.334682642
12,35,75516,95892,0.21248905
12,36,102018,108564,0.060296231
12,37,76536,98304,0.221435547
12,38,118770,120000,0.01025
12,39,115356,118236,0.024358064
12,40,71502,94020,0.239502234
12,41,78354,98196,0.202065257
12,42,60876,83718,0.27284455
12,43,66600,90276,0.262262395
12,44,67812,90240,0.248537234
12,45,84948,101970,0.16693145
12,46,35682,54936,0.350480559
12,47,54294,78684,0.309974074
12,48,105438,111144,0.051338804
12,49,78564,99114,0.207337006
13,0,34668,53052,0.346527935
13,1,72168,93732,0.230060172
13,2,116292,119580,0.027496237
13,3,81306,100008,0.18700504
13,4,116586,120000,0.02845
13,5,103572,110166,0.059855128
13,6,65580,88320,0.257472826
13,7,70284,93024,0.244453044
