combo_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
277,60,60,60,60,60,48,48,48,48,48,48,48,48,36,36
278,60,60,60,60,60,48,48,48,48,48,48,48,36,36,36
279,60,60,60,60,60,48,48,48,48,48,48,36,36,36,36
280,60,60,60,60,60,48,48,48,48,48,36,36,36,36,36
281,60,60,60,60,60,48,48,48,48,36,36,36,36,36,36
282,60,60,60,60,60,48,48,48,36,36,36,36,36,36,36
283,60,60,60,60,60,48,48,36,36,36,36,36,36,36,36
284,60,60,60,60,60,48,36,36,36,36,36,36,36,36,36
285,60,60,60,60,60,36,36,36,36,36,36,36,36,36,36
286,60,60,60,60,54,54,54,54,54,54,54,54,54,54,54
287,60,60,60,60,54,54,54,54,54,54,54,54,54,54,48
288,60,60,60,60,54,54,54,54,54,54,54,54,54,54,36
289,60,60,60,60,54,54,54,54,54,54,54,54,54,48,48
290,60,60,60,60,54,54,54,54,54,54,54,54,54,48,36
291,60,60,60,60,54,54,54,54,54,54,54,54,54,36,36
292,60,60,60,60,54,54,54,54,54,54,54,54,48,48,48
293,60,60,60,60,54,54,54,54,54,54,54,54,48,48,36
294,60,60,60,60,54,54,54,54,54,54,54,54,48,36,36
295,60,60,60,60,54,54,54,54,54,54,54,54,36,36,36
296,60,60,60,60,54,54,54,54,54,54,54,48,48,48,48
297,60,60,60,60,54,54,54,54,54,54,54,48,48,48,36
298,60,60,60,60,54,54,54,54,54,54,54,48,48,36,36
299,60,60,60,60,54,54,54,54,54,54,54,48,36,36,36
300,60,60,60,60,54,54,54,54,54,54,54,36,36,36,36
301,60,60,60,60,54,54,54,54,54,54,48,48,48,48,48
302,60,60,60,60,54,54,54,54,54,54,48,48,48,48,36
303,60,60,60,60,54,54,54,54,54,54,48,48,48,36,36
304,60,60,60,60,54,54,54,54,54,54,48,48,36,36,36
305,60,60,60,60,54,54,54,54,54,54,48,36,36,36,36
306,60,60,60,60,54,54,54,54,54,54,36,36,36,36,36
307,60,60,60,60,54,54,54,54,54,48,48,48,48,48,48
308,60,60,60,60,54,54,54,54,54,48,48,48,48,48,36
309,60,60,60,60,54,54,54,54,54,48,48,48,48,36,36
310,60,60,60,60,54,54,54,54,54,48,48,48,36,36,36
311,60,60,60,60,54,54,54,54,54,48,48,36,36,36,36
312,60,60,60,60,54,54,54,54,54,48,36,36,36,36,36
313,60,60,60,60,54,54,54,54,54,36,36,36,36,36,36
314,60,60,60,60,54,54,54,54,48,48,48,48,48,48,48
315,60,60,60,60,54,54,54,54,48,48,48,48,48,48,36
316,60,60,60,60,54,54,54,54,48,48,48,48,48,36,36
317,60,60,60,60,54,54,54,54,48,48,48,48,36,36,36
318,60,60,60,60,54,54,54,54,48,48,48,36,36,36,36
319,60,60,60,60,54,54,54,54,48,48,36,36,36,36,36
320,60,60,60,60,54,54,54,54,48,36,36,36,36,36,36
321,60,60,60,60,54,54,54,54,36,36,36,36,36,36,36
322,60,60,60,60,54,54,54,48,48,48,48,48,48,48,48
323,60,60,60,60,54,54,54,48,48,48,48,48,48,48,36
324,60,60,60,60,54,54,54,48,48,48,48,48,48,36,36
325,60,60,60,60,54,54,54,48,48,48,48,48,36,36,36
326,60,60,60,60,54,54,54,48,48,48,48,36,36,36,36
327,60,60,60,60,54,54,54,48,48,48,36,36,36,36,36
