combo,replication,revenue,perfect,difference
42,9,108420,111570,0.028233396
42,13,110682,113922,0.028440512
42,15,106170,108612,0.022483703
42,22,111090,115494,0.038131851
42,24,110994,114042,0.026726995
42,27,111978,115146,0.027512897
42,28,117102,120000,0.02415
42,34,100242,104976,0.045096022
42,38,109626,114762,0.04475349
42,41,108552,110838,0.020624696
42,44,104064,107946,0.035962426
43,4,103218,107160,0.036786114
43,7,114030,120000,0.04975
43,10,105300,109068,0.034547255
43,11,114900,120000,0.0425
43,14,115260,120000,0.0395
43,15,103986,107712,0.034592246
43,16,100884,105150,0.040570613
43,24,103764,108150,0.040554785
43,31,103554,108648,0.046885355
43,36,103824,108462,0.04276152
43,38,103704,107088,0.031600179
43,46,112068,117360,0.045092025
44,1,114924,120000,0.0423
44,26,102054,107226,0.04823457
45,6,104742,109206,0.040876875
45,7,104484,109284,0.043922258
45,9,100602,105534,0.046733754
45,10,115296,120000,0.0392
45,12,110904,113940,0.026645603
45,17,112524,117828,0.045014767
45,26,109176,110412,0.011194435
45,27,105672,108552,0.026531063
45,28,110982,113568,0.022770499
45,30,111252,115056,0.033062161
45,31,106446,109692,0.029591948
45,35,111222,114546,0.029018909
45,41,115710,120000,0.03575
45,42,110160,111750,0.014228188
45,45,113376,119232,0.049114332
46,0,109584,112914,0.029491471
46,2,110136,113544,0.030014796
46,5,108156,111030,0.025884896
46,6,102144,107232,0.047448523
46,8,106560,108540,0.018242123
46,9,111552,113796,0.019719498
46,11,112230,115656,0.029622328
46,12,111366,114048,0.023516414
46,17,109038,112050,0.026880857
46,18,108234,111066,0.025498352
46,20,110802,114450,0.031874181
46,24,107718,110388,0.024187412
46,28,104028,107220,0.029770565
46,32,107394,110148,0.025002724
46,33,110838,114480,0.031813417
46,35,108912,112674,0.033388359
46,36,106776,109062,0.020960555
46,46,104484,107160,0.024972004
46,49,108228,111726,0.031308737
47,1,107268,111978,0.042061834
47,3,110334,115770,0.04695517
47,4,106338,111192,0.04365422
47,6,101562,106050,0.042319661
47,9,107160,110508,0.030296449
47,11,107742,112752,0.044433802
47,19,104334,108228,0.035979599
47,20,111348,116280,0.042414861
47,21,103392,107616,0.039250669
47,28,104004,109008,0.045904888
47,43,102366,107430,0.047137671
47,49,104076,108714,0.042662399
48,37,116634,120000,0.02805
48,46,103200,107730,0.042049568
50,6,103668,106464,0.026262399
50,13,101460,106368,0.046141697
50,14,111672,117012,0.045636345
50,19,107952,109242,0.011808645
50,20,105948,108660,0.024958586
50,22,108792,110322,0.013868494
50,24,112200,117060,0.041517171
50,32,109992,113004,0.026653924
50,33,102012,105924,0.03693214
50,34,116016,120000,0.0332
50,36,111264,116370,0.043877288
50,43,107592,109146,0.01423781
50,45,105696,107598,0.017676908
50,46,103476,106866,0.03172197
50,48,111456,117246,0.049383348
50,49,104508,107814,0.030663921
51,2,100704,103692,0.028816109
51,13,104328,107178,0.026591278
51,21,116952,120000,0.0254
51,25,104232,106554,0.021791768
51,26,102288,105144,0.027162748
51,29,114780,120000,0.0435
51,31,103632,107106,0.032435158
51,32,109320,113634,0.03796399
51,33,104544,106752,0.020683453
51,38,108240,110070,0.016625784
51,41,99840,104910,0.048327138
51,42,101004,105078,0.038771199
